Category,Places,location,Latitude,Longitude
Waterfall,Athirapally Falls,"Thrissur District, Kerala, India",10.4786547,76.27261253
Waterfall,Jog Falls,"Shimoga District, Karnataka, India",14.0558284,75.1312534
Waterfall,Dudhsagar Falls,"Goa-Karnataka border, India",15.31277,74.31416
Waterfall,Nohkalikai Falls,"Cherrapunji, Meghalaya, India",25.2777336,91.7292416
Waterfall,Hogenakkal Falls,"Dharmapuri District, Tamil Nadu, India",12.14561305,78.11322172
Waterfall,Bhagsu Waterfall,"McLeod Ganj, Himachal Pradesh, India",32.2352666,76.326238
Waterfall,Aruvikkuzhi Waterfall,"Kottayam, Kerala, India",9.591564,76.5221599
Waterfall,Abbey Falls,"Coorg, Karnataka, India",12.9363343,77.6151183
Waterfall,Kempty Falls,"Mussoorie, Uttarakhand, India",30.4569012,78.0782906
Waterfall,Courtallam Falls (Kutralam Falls),"Tirunelveli District, Tamil Nadu, India",8.5495014,77.58051776
Scenic beauty,Rishikesh,"Uttarakhand, India",30.0417376,79.089691
Scenic beauty,Valley of Flowers,"Chamoli District, Uttarakhand, India",30.4996323,79.61879246
Scenic beauty,Lakshman Sagar Lake,"Pali District, Rajasthan, India",25.6051226,73.41650555
Scenic beauty,Munnar,"Kerala, India",10.3528744,76.5120396
Scenic beauty,Nainital,"Uttarakhand, India",30.0417376,79.089691
Scenic beauty,Dandeli,"Karnataka, India",14.5203896,75.7223521
Scenic beauty,Alleppey,"Kerala, India",10.3528744,76.5120396
Scenic beauty,Dzukou Valley,"Nagaland-Manipur border, India",25.553329,94.067065
Scenic beauty,Tarkarli Beach and Karli River,"Malvan, Maharashtra, India",16.06064,73.4669499
Scenic beauty,Zanskar Valley,"Ladakh, Jammu and Kashmir, India",34.5592226,76.1253083
Museum,Indian Museum,"Kolkata, West Bengal, India",22.5726459,88.3638953
Museum,"National Museum, New Delhi","New Delhi, India",28.6138954,77.2090057
Museum,Salar Jung Museum,"Hyderabad, Telangana, India",17.360589,78.4740613
Museum,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (formerly Prince of Wales Museum),"Mumbai, Maharashtra, India",18.9733536,72.82810492
Museum,Government Museum and Art Gallery,"Chandigarh, India",30.7334421,76.7797143
Museum,Victoria Memorial,"Kolkata, West Bengal, India",22.5726459,88.3638953
Museum,Dr. Bhau Daji Lad Museum,"Mumbai, Maharashtra, India",18.9733536,72.82810492
Museum,Shankar's International Dolls Museum,"New Delhi, India",28.6138954,77.2090057
Museum,Jaisalmer War Museum,"Jaisalmer, Rajasthan, India",26.921761,70.9191144
Museum,Heritage Transport Museum,"Gurugram, Haryana, India",28.4646148,77.0299194
Museum,Calico Museum of Textiles,"Ahmedabad, Gujarat, India",23.0216238,72.5797068
Museum,Mani Bhavan Gandhi Museum,"Mumbai, Maharashtra, India",18.9733536,72.82810492
Museum,Indian War Memorial Museum,"New Delhi, India",28.6138954,77.2090057
Museum,RBI Monetary Museum,"Mumbai, Maharashtra, India",18.9733536,72.82810492
Museum,The City Palace Museum,"Udaipur, Rajasthan, India",24.578721,73.6862571
Museum,"Archaeological Museum, Lothal","Lothal, Gujarat, India",22.522677,72.2493077
Museum,Albert Hall Museum,"Jaipur, Rajasthan, India",26.9154576,75.8189817
Museum,Himalayan Mountaineering Institute and Museums,"Darjeeling, West Bengal, India",27.0377554,88.263176
Museum,"Rijksmuseum, South Indian Art and Architecture","Thanjavur, Tamil Nadu, India",10.7860267,79.1381497
Museum,International Dolls Museum,"Chandigarh, India",30.7334421,76.7797143
Fort,Amber Fort (Amer Fort),"Jaipur, Rajasthan, India",26.9154576,75.8189817
Fort,Red Fort (Lal Qila),"Delhi, India",28.6273928,77.1716954
Fort,Agra Fort,"Agra, Uttar Pradesh, India",27.1752554,78.0098161
Fort,Mehrangarh Fort,"Jodhpur, Rajasthan, India",26.2967719,73.0351433
Fort,Jaisalmer Fort,"Jaisalmer, Rajasthan, India",26.921761,70.9191144
Fort,Gwalior Fort,"Gwalior, Madhya Pradesh, India",26.2037247,78.1573628
Fort,Chittorgarh Fort,"Chittorgarh, Rajasthan, India",24.8837157,74.6244155
Fort,Jaigarh Fort,"Jaipur, Rajasthan, India",26.9154576,75.8189817
Fort,Junagarh Fort,"Bikaner, Rajasthan, India",28.0159286,73.3171367
Fort,Kumbhalgarh Fort,"Kumbhalgarh, Rajasthan, India",25.1480528,73.5827479
Fort,Sindhudurg Fort,"Sindhudurg, Maharashtra, India",16.1357193,73.6522086
Fort,Raigad Fort,"Raigad, Maharashtra, India",18.4928092,73.13807095
Fort,Chunar Fort,"Chunar, Uttar Pradesh, India",25.02409535,82.9115974
Fort,Kangra Fort,"Kangra, Himachal Pradesh, India",32.166667,76.25
Fort,Daulatabad Fort,"Aurangabad, Maharashtra, India",19.877263,75.3390241
Fort,Golconda Fort,"Hyderabad, Telangana, India",17.360589,78.4740613
Fort,Amer Fort,"Amer, Rajasthan, India",26.9885137,75.8594847
Fort,Murud-Janjira Fort,"Murud, Maharashtra, India",18.40468435,72.95338159
Fort,Jahangir Mahal (Orchha Fort),"Orchha, Madhya Pradesh, India",25.3528706,78.6402465
Fort,Bekal Fort,"Kasaragod, Kerala, India",12.5035577,74.9907022
Temple,Golden Temple (Harmandir Sahib),"Amritsar, Punjab, India",31.6343083,74.8736788
Temple,Tirupati Balaji Temple (Sri Venkateswara Swamy Temple),"Tirumala, Andhra Pradesh, India",13.6795235,79.3497522
Temple,Kedarnath Temple,"Kedarnath, Uttarakhand, India",30.7345609,79.0673204
Temple,Meenakshi Amman Temple,"Madurai, Tamil Nadu, India",9.9261153,78.1140983
Temple,Lotus Temple (Bahá'í House of Worship),"Delhi, India",28.6273928,77.1716954
Temple,Akshardham Temple,"Delhi, India",28.6273928,77.1716954
Temple,Somnath Temple,"Prabhas Patan, Gujarat, India",20.8905242,70.4019528
Temple,Brihadeeswarar Temple (Big Temple),"Thanjavur, Tamil Nadu, India",10.7860267,79.1381497
Temple,Siddhivinayak Temple,"Mumbai, Maharashtra, India",18.9733536,72.82810492
Temple,Jagannath Temple,"Puri, Odisha, India",19.8076083,85.8252538
Temple,Mahabodhi Temple,"Bodh Gaya, Bihar, India",24.6962612,84.9937642
Temple,Lingaraj Temple,"Bhubaneswar, Odisha, India",20.2602964,85.8394521
Temple,Kashi Vishwanath Temple,"Varanasi, Uttar Pradesh, India",25.3356491,83.0076292
Temple,Vaishno Devi Temple,"Katra, Jammu and Kashmir, India",32.9924858,74.9318127
Temple,"Chola Temples (Airavateshvara Temple, Brihadeeswarar Temple, Gangaikonda Cholapuram)","Tamil Nadu, India",10.9094334,78.3665347
Temple,Ramanathaswamy Temple,"Rameswaram, Tamil Nadu, India",9.2388621,79.33260796
Temple,Dwarkadhish Temple,"Dwarka, Gujarat, India",22.2471009,68.9742446
Temple,Sun Temple (Konark Sun Temple),"Konark, Odisha, India",19.90742915,86.14201945
Temple,Ranganathaswamy Temple,"Srirangam, Tamil Nadu, India",10.78789595,78.61240704
Temple,Badrinath Temple,"Badrinath, Uttarakhand, India",30.7423302,79.4930256
Camping,Rishikesh,"Uttarakhand, India",30.0417376,79.089691
Camping,Spiti Valley,"Himachal Pradesh, India",31.81676015,77.34932052
Camping,Nainital,"Uttarakhand, India",30.0417376,79.089691
Camping,Jaisalmer,"Rajasthan, India",26.8105777,73.7684549
Camping,Kanatal,"Uttarakhand, India",30.0417376,79.089691
Camping,Bir Billing,"Himachal Pradesh, India",31.81676015,77.34932052
Camping,Pushkar,"Rajasthan, India",26.8105777,73.7684549
Camping,Coorg,"Karnataka, India",14.5203896,75.7223521
Camping,Munnar,"Kerala, India",10.3528744,76.5120396
Camping,Ladakh,"Jammu and Kashmir, India",33.6649297,75.1629584
Camping,Wayanad,"Kerala, India",10.3528744,76.5120396
Camping,Dhanaulti,"Uttarakhand, India",30.0417376,79.089691
Camping,Auli,"Uttarakhand, India",30.0417376,79.089691
Camping,Kodaikanal,"Tamil Nadu, India",10.9094334,78.3665347
Camping,Tosh,"Himachal Pradesh, India",31.81676015,77.34932052
Camping,Chandratal Lake,"Himachal Pradesh, India",31.81676015,77.34932052
Camping,Ranthambore National Park,"Rajasthan, India",26.8105777,73.7684549
Camping,Valley of Flowers,"Uttarakhand, India",30.0417376,79.089691
Camping,Kheerganga,"Himachal Pradesh, India",31.81676015,77.34932052
Camping,Dzukou Valley,"Nagaland, India",26.1630556,94.5884911
Historic Place,Taj Mahal,"Agra, Uttar Pradesh, India",27.1752554,78.0098161
Historic Place,Jaipur City Palace,"Jaipur, Rajasthan, India",26.9154576,75.8189817
Historic Place,Amer Fort (Amber Fort),"Jaipur, Rajasthan, India",26.9154576,75.8189817
Historic Place,Qutub Minar,"Delhi, India",28.6273928,77.1716954
Historic Place,Hawa Mahal (Palace of Winds),"Jaipur, Rajasthan, India",26.9154576,75.8189817
Historic Place,Fatehpur Sikri,"Agra, Uttar Pradesh, India",27.1752554,78.0098161
Historic Place,Mahabalipuram (Group of Sanctuaries),"Tamil Nadu, India",10.9094334,78.3665347
Historic Place,Red Fort (Lal Qila),"Delhi, India",28.6273928,77.1716954
Historic Place,Sanchi Stupa,"Sanchi, Madhya Pradesh, India",23.487047,77.740622
Historic Place,Ajanta and Ellora Caves,"Aurangabad, Maharashtra, India",19.877263,75.3390241
Historic Place,Mehrangarh Fort,"Jodhpur, Rajasthan, India",26.2967719,73.0351433
Historic Place,Khajuraho Group of Monuments,"Khajuraho, Madhya Pradesh, India",24.8515132,79.9259786
Historic Place,Gwalior Fort,"Gwalior, Madhya Pradesh, India",26.2037247,78.1573628
Historic Place,Hampi (Group of Monuments),"Karnataka, India",14.5203896,75.7223521
Historic Place,Srinagar Old City,"Srinagar, Jammu and Kashmir, India",34.0747444,74.8204443
Historic Place,Aihole (Group of Monuments),"Karnataka, India",14.5203896,75.7223521
Historic Place,Rakhigarhi (Harappan archaeological site),"Haryana, India (Harappan archaeological site)",29.293056,76.114167
Historic Place,Sabarmati Ashram,"Ahmedabad, Gujarat, India",23.0216238,72.5797068
Historic Place,Jallianwala Bagh,"Amritsar, Punjab, India",31.6343083,74.8736788
Historic Place,Ajmer Sharif Dargah,"Ajmer, Rajasthan, India",26.4691,74.639
Beach,Palolem Beach,"Canacona, South Goa, Goa, India",15.0068417,74.0394887
Beach,Kovalam Beach,"Thiruvananthapuram, Kerala, India",8.4882267,76.947551
Beach,Radhanagar Beach,"Havelock Island, Andaman and Nicobar Islands, India",11.9651954,92.99562115
Beach,Baga Beach,"North Goa, Goa, India",15.6199727,73.7684376
Beach,Anjuna Beach,"North Goa, Goa, India",15.6199727,73.7684376
Beach,Varkala Beach,"Varkala, Kerala, India",8.7342288,76.7257086
Beach,Calangute Beach,"North Goa, Goa, India",15.6199727,73.7684376
Beach,Marari Beach,"Alappuzha, Kerala, India",9.4980001,76.333482
Beach,Digha Beach,"Digha, West Bengal, India",21.623077,87.5082534
Beach,Arambol Beach,"North Goa, Goa, India",15.6199727,73.7684376
Beach,Gokarna Beach,"Gokarna, Karnataka, India",14.5439629,74.3184418
Beach,Puri Beach,"Puri, Odisha, India",19.8076083,85.8252538
Beach,Varca Beach,"South Goa, Goa, India",15.40464285,73.79813976
Beach,Colva Beach,"South Goa, Goa, India",15.40464285,73.79813976
Beach,Juhu Beach,"Mumbai, Maharashtra, India",18.9733536,72.82810492
Beach,Dhanushkodi Beach,"Rameswaram, Tamil Nadu, India",9.2388621,79.33260796
Beach,Paradise Beach,"Puducherry, India",10.91564885,79.8069488
Beach,Tarkarli Beach,"Malvan, Maharashtra, India",16.06064,73.4669499
